n,m,p,seed,algoritmo,dim_cover,tempo_sec,valid
200,100,0.3,123,Randomized,25,0.002956,1
200,100,0.3,7,Greedy,7,0.000523,1
200,100,0.3,7,GreedyHashMap,7,0.000108,1
200,100,0.3,7,Randomized,22,0.003506,1
200,100,0.3,31,Greedy,8,0.000596,1
200,100,0.3,31,GreedyHashMap,8,0.000114,1
200,100,0.3,31,Randomized,23,0.002992,1
200,100,0.3,999,Greedy,7,0.00052,1
200,100,0.3,999,GreedyHashMap,7,0.00012,1
200,100,0.3,999,Randomized,23,0.003214,1
200,100,0.3,17,Greedy,7,0.000506,1
200,100,0.3,17,GreedyHashMap,7,0.000114,1
200,100,0.3,17,Randomized,27,0.00343,1
200,100,0.3,53,Greedy,8,0.000637,1
200,100,0.3,53,GreedyHashMap,8,0.000117,1
200,100,0.3,53,Randomized,31,0.003581,1
200,100,0.3,77,Greedy,7,0.000536,1
200,100,0.3,77,GreedyHashMap,8,0.000123,1
200,100,0.3,77,Randomized,25,0.003909,1
200,100,0.3,101,Greedy,7,0.000563,1
200,100,0.3,101,GreedyHashMap,8,0.000117,1
200,100,0.3,101,Randomized,25,0.003266,1
200,100,0.3,200,Greedy,8,0.000602,1
200,100,0.3,200,GreedyHashMap,8,0.000113,1
200,100,0.3,200,Randomized,27,0.003035,1
200,100,0.5,42,Greedy,4,0.000418,1
200,100,0.5,42,GreedyHashMap,4,0.000127,1
200,100,0.5,42,Randomized,23,0.004778,1
200,100,0.5,123,Greedy,5,0.00052,1
200,100,0.5,123,GreedyHashMap,5,0.000143,1
200,100,0.5,123,Randomized,17,0.004229,1
200,100,0.5,7,Greedy,4,0.000395,1
200,100,0.5,7,GreedyHashMap,4,0.000128,1
200,100,0.5,7,Randomized,17,0.004042,1
200,100,0.5,31,Greedy,4,0.000384,1
200,100,0.5,31,GreedyHashMap,4,0.000133,1
200,100,0.5,31,Randomized,20,0.005101,1
200,100,0.5,999,Greedy,5,0.000543,1
200,100,0.5,999,GreedyHashMap,4,0.000129,1
200,100,0.5,999,Randomized,16,0.003948,1
200,100,0.5,17,Greedy,4,0.000414,1
200,100,0.5,17,GreedyHashMap,4,0.000139,1
200,100,0.5,17,Randomized,21,0.004002,1
200,100,0.5,53,Greedy,5,0.000502,1
200,100,0.5,53,GreedyHashMap,5,0.000132,1
200,100,0.5,53,Randomized,25,0.004262,1
200,100,0.5,77,Greedy,5,0.000551,1
